kode,username,status,judul,penulis,rating,jml hlm,genre,sinopsis
A01,@cahayailahiy,Borrowing,86,Okky Madasari,3.74,256,"fiksi, keluarga, kriminal","Apa yang bisa dibanggakan dari pegawai rendahan di pengadilan? Gaji bulanan, baju seragam, atau uang pensiunan? Arimbi, juru ketik di pengadilan negeri, menjadi sumber kebanggaan bagi orangtua dan orang-orang di desanya. Generasi dari keluarga petani yang bisa menjadi pegawai negeri. Bekerja memakai seragam tiap hari, setiap bulan mendapat gaji, dan mendapat uang pensiun saat tua nanti. Arimbi juga menjadi tumpuan harapan, tempat banyak orang menitipkan pesan dan keinginan. Bagi mereka, tak ada yang tak bisa dilakukan oleh pegawai pengadilan. Dari pegawai lugu yang tak banyak tahu, Arimbi ikut menjadi bagian orang-orang yang tak lagi punya malu. Tak ada yang tak benar kalau sudah dilakukan banyak orang. Tak ada lagi yang harus ditakutkan kalau semua orang sudah menganggap sebagai kewajaran. Pokoknya, 86!"
A01,@elsa.manalu,Queue,86,Okky Madasari,3.74,256,"fiksi, keluarga, kriminal","Apa yang bisa dibanggakan dari pegawai rendahan di pengadilan? Gaji bulanan, baju seragam, atau uang pensiunan? Arimbi, juru ketik di pengadilan negeri, menjadi sumber kebanggaan bagi orangtua dan orang-orang di desanya. Generasi dari keluarga petani yang bisa menjadi pegawai negeri. Bekerja memakai seragam tiap hari, setiap bulan mendapat gaji, dan mendapat uang pensiun saat tua nanti. Arimbi juga menjadi tumpuan harapan, tempat banyak orang menitipkan pesan dan keinginan. Bagi mereka, tak ada yang tak bisa dilakukan oleh pegawai pengadilan. Dari pegawai lugu yang tak banyak tahu, Arimbi ikut menjadi bagian orang-orang yang tak lagi punya malu. Tak ada yang tak benar kalau sudah dilakukan banyak orang. Tak ada lagi yang harus ditakutkan kalau semua orang sudah menganggap sebagai kewajaran. Pokoknya, 86!"
A01,@naanaachinggu,Borrowed,86,Okky Madasari,3.74,256,"fiksi, keluarga, kriminal","Apa yang bisa dibanggakan dari pegawai rendahan di pengadilan? Gaji bulanan, baju seragam, atau uang pensiunan? Arimbi, juru ketik di pengadilan negeri, menjadi sumber kebanggaan bagi orangtua dan orang-orang di desanya. Generasi dari keluarga petani yang bisa menjadi pegawai negeri. Bekerja memakai seragam tiap hari, setiap bulan mendapat gaji, dan mendapat uang pensiun saat tua nanti. Arimbi juga menjadi tumpuan harapan, tempat banyak orang menitipkan pesan dan keinginan. Bagi mereka, tak ada yang tak bisa dilakukan oleh pegawai pengadilan. Dari pegawai lugu yang tak banyak tahu, Arimbi ikut menjadi bagian orang-orang yang tak lagi punya malu. Tak ada yang tak benar kalau sudah dilakukan banyak orang. Tak ada lagi yang harus ditakutkan kalau semua orang sudah menganggap sebagai kewajaran. Pokoknya, 86!"
A01,@pretteawhine,Queue,86,Okky Madasari,3.74,256,"fiksi, keluarga, kriminal","Apa yang bisa dibanggakan dari pegawai rendahan di pengadilan? Gaji bulanan, baju seragam, atau uang pensiunan? Arimbi, juru ketik di pengadilan negeri, menjadi sumber kebanggaan bagi orangtua dan orang-orang di desanya. Generasi dari keluarga petani yang bisa menjadi pegawai negeri. Bekerja memakai seragam tiap hari, setiap bulan mendapat gaji, dan mendapat uang pensiun saat tua nanti. Arimbi juga menjadi tumpuan harapan, tempat banyak orang menitipkan pesan dan keinginan. Bagi mereka, tak ada yang tak bisa dilakukan oleh pegawai pengadilan. Dari pegawai lugu yang tak banyak tahu, Arimbi ikut menjadi bagian orang-orang yang tak lagi punya malu. Tak ada yang tak benar kalau sudah dilakukan banyak orang. Tak ada lagi yang harus ditakutkan kalau semua orang sudah menganggap sebagai kewajaran. Pokoknya, 86!"
A02,@MAULIA58624687,Borrowing,A Curse for true love,Stephanie Garber,4.12,386,"fiksi, fantasi, romansa, young-adult","Tak ada yang lebih diinginkan Evangeline Fox selain akhir bahagia selamanya. Dia menikahi pangeran tampan dan tinggal di istana kerajaan. Dia seharusnya bersenang-senang tanpa satu pun kekhawatiran. Namun, mengapa dia malah merasa hampa? Mengapa rasanya seolah ada sesuatu yang hilang dan meninggalkan lubang menganga di hatinya? Mengapa jantungnya berdebar kencang untuk lelaki asing selain suaminya? Malaikat rupawan berambut keemasan yang memicu sebuah ingatan yang sepertinya terlupakan: Lelaki itu rela menggendongnya melewati apa saja, bukan hanya perairan membekukan. Lelaki itu akan menyeretnya menerjang api jika perlu, menggotongnya agar selamat dari impitan perang, dari kota-kota yang runtuh dan dunia-dunia yang hancur .... Ada yang berubah dalam diri Evangeline. Sepertinya, saat ini, dia bukan lagi gadis yang memiliki harapan abadi, yang memercayai dongeng, cinta pandangan pertama, ataupun akhir bahagia selamanya."
A02,@youbwimine,Borrowed,A Curse for true love,Stephanie Garber,4.12,386,"fiksi, fantasi, romansa, young-adult","Tak ada yang lebih diinginkan Evangeline Fox selain akhir bahagia selamanya. Dia menikahi pangeran tampan dan tinggal di istana kerajaan. Dia seharusnya bersenang-senang tanpa satu pun kekhawatiran. Namun, mengapa dia malah merasa hampa? Mengapa rasanya seolah ada sesuatu yang hilang dan meninggalkan lubang menganga di hatinya? Mengapa jantungnya berdebar kencang untuk lelaki asing selain suaminya? Malaikat rupawan berambut keemasan yang memicu sebuah ingatan yang sepertinya terlupakan: Lelaki itu rela menggendongnya melewati apa saja, bukan hanya perairan membekukan. Lelaki itu akan menyeretnya menerjang api jika perlu, menggotongnya agar selamat dari impitan perang, dari kota-kota yang runtuh dan dunia-dunia yang hancur .... Ada yang berubah dalam diri Evangeline. Sepertinya, saat ini, dia bukan lagi gadis yang memiliki harapan abadi, yang memercayai dongeng, cinta pandangan pertama, ataupun akhir bahagia selamanya."
A03,@dontknowhoiamm,Borrowed,A Man Called Ove,Fredrick Backman,4.38,337,"fiksi, humor, heartwarming, slice of life","Seorang penggerutu, kaku, punya rutinitas yang tak bisa diganggu gugat, sumbu pendek pula. Itulah Ove. Orang-orang menyebutnya tetangga pemarah dari neraka. Tapi apa betul Ove pemarah, hanya karena dia tidak terus-menerus memasang senyuman di wajahnya? Di balik tampak luarnya yang pemarah ada cerita dan kepedihan. Keadaan mulai berubah ketika ada pasangan muda cerewet, dengan dua putri cilik bawel, pindah ke sebelah rumahnya dan tak sengaja meremukkan kotak surat Ove. Maka dimulailah rangkaian kejadian yang berujung pada persahabatan, kucing, dan tolong-menolong yang kelak begitu banyak mengubah Ove serta orang-orang di lingkungan tempat tinggalnya."
A03,@himamomao,Queue,A Man Called Ove,Fredrick Backman,4.38,337,"fiksi, humor, heartwarming, slice of life","Seorang penggerutu, kaku, punya rutinitas yang tak bisa diganggu gugat, sumbu pendek pula. Itulah Ove. Orang-orang menyebutnya tetangga pemarah dari neraka. Tapi apa betul Ove pemarah, hanya karena dia tidak terus-menerus memasang senyuman di wajahnya? Di balik tampak luarnya yang pemarah ada cerita dan kepedihan. Keadaan mulai berubah ketika ada pasangan muda cerewet, dengan dua putri cilik bawel, pindah ke sebelah rumahnya dan tak sengaja meremukkan kotak surat Ove. Maka dimulailah rangkaian kejadian yang berujung pada persahabatan, kucing, dan tolong-menolong yang kelak begitu banyak mengubah Ove serta orang-orang di lingkungan tempat tinggalnya."
A03,@ssseekar,Borrowed,A Man Called Ove,Fredrick Backman,4.38,337,"fiksi, humor, heartwarming, slice of life","Seorang penggerutu, kaku, punya rutinitas yang tak bisa diganggu gugat, sumbu pendek pula. Itulah Ove. Orang-orang menyebutnya tetangga pemarah dari neraka. Tapi apa betul Ove pemarah, hanya karena dia tidak terus-menerus memasang senyuman di wajahnya? Di balik tampak luarnya yang pemarah ada cerita dan kepedihan. Keadaan mulai berubah ketika ada pasangan muda cerewet, dengan dua putri cilik bawel, pindah ke sebelah rumahnya dan tak sengaja meremukkan kotak surat Ove. Maka dimulailah rangkaian kejadian yang berujung pada persahabatan, kucing, dan tolong-menolong yang kelak begitu banyak mengubah Ove serta orang-orang di lingkungan tempat tinggalnya."
A03,@watcyuwant,Borrowing,A Man Called Ove,Fredrick Backman,4.38,337,"fiksi, humor, heartwarming, slice of life","Seorang penggerutu, kaku, punya rutinitas yang tak bisa diganggu gugat, sumbu pendek pula. Itulah Ove. Orang-orang menyebutnya tetangga pemarah dari neraka. Tapi apa betul Ove pemarah, hanya karena dia tidak terus-menerus memasang senyuman di wajahnya? Di balik tampak luarnya yang pemarah ada cerita dan kepedihan. Keadaan mulai berubah ketika ada pasangan muda cerewet, dengan dua putri cilik bawel, pindah ke sebelah rumahnya dan tak sengaja meremukkan kotak surat Ove. Maka dimulailah rangkaian kejadian yang berujung pada persahabatan, kucing, dan tolong-menolong yang kelak begitu banyak mengubah Ove serta orang-orang di lingkungan tempat tinggalnya."
